,name,youtube_code,namu_code,namu_url,txt_name
0,박닝겐,/channel/UCtG4WVb1P38zdKG8HXP4scQ,박닝겐,https://namu.wiki/w/박닝겐,박닝겐.txt
1,Xbox,/channel/UCjBp_7RuDBUYbd1LegWEJ8g,Xbox,https://namu.wiki/w/Xbox,Xbox.txt
2,Lime Tube[라임튜브],/channel/UCxutPqfWSdYqaK8_tlc5PBA,라임튜브,https://namu.wiki/w/라임튜브,라임튜브.txt
3,ToyFamily,/channel/UCxLOTgnqpSqQp_kMPlb7PWw,Ryan's World,https://namu.wiki/w/Ryan's World,Ryan's World.txt
4,도티 TV,/channel/UChQ-VMvdGrYZxviQVMTJOHg,도티,https://namu.wiki/w/도티,도티.txt
5,감스트GAMST,/channel/UCbFzvzDu17eDZ3RIeaLRswQ,감스트,https://namu.wiki/w/감스트,감스트.txt
6,잠뜰 TV,/channel/UCg7rkxrTnIhiHEpXY1ec9NA,잠뜰,https://namu.wiki/w/잠뜰,잠뜰.txt
7,LsCraft,/channel/UC4Qw1uE9kwUI4cCAx9HZtxw,팬 케이,https://namu.wiki/w/팬 케이,팬 케이.txt
8,악동 김블루,/channel/UCNzcxCN_Hh_lu5RCSFXKgGQ,김블루,https://namu.wiki/w/김블루,김블루.txt
9,대도서관TV (buzzbean11),/channel/UCSHVH_AWVUc-C8-D8mh8W6A,대도서관(방송인),https://namu.wiki/w/대도서관(방송인),대도서관(방송인).txt
10,양띵 유튜브,/channel/UCYooECrv-fIXlPaDwEIaveA,양띵,https://namu.wiki/w/양띵,양띵.txt
11,김재원의 즐거운 세상,/channel/UCta_NRwnsUaew0t3VNxBNyg,김재원(샌드박스 네트워크),https://namu.wiki/w/김재원(샌드박스 네트워크),김재원(샌드박스 네트워크).txt
12,뜨뜨뜨뜨,/channel/UCHxKSivB6JLZ1SEMdxd1fAg,뜨뜨뜨뜨,https://namu.wiki/w/뜨뜨뜨뜨,뜨뜨뜨뜨.txt
13,Edu car toy school,/channel/UC3dt8G_iIiZXijtaaLgo1HA,Car Driving School Simulator,https://namu.wiki/w/Car Driving School Simulator,Car Driving School Simulator.txt
14,태경 TV,/channel/UCEPuItFWOOJ2o5hTu65NlEg,태경,https://namu.wiki/w/태경,태경.txt
15,T1 Faker,/channel/UCpJw2H9KKqwCCGQKRh1Bf2w,이상혁,https://namu.wiki/w/이상혁,이상혁.txt
16,악어 유튜브,/channel/UCQJuZxeDv2P05YHcC-tIEVQ,악어(인터넷 방송인),https://namu.wiki/w/악어(인터넷 방송인),악어(인터넷 방송인).txt
17,캐릭온 TV,/channel/UCyn_E0ZE8RNOnYnF3lVaCOQ,캐릭온TV,https://namu.wiki/w/캐릭온TV,캐릭온TV.txt
18,우주하마,/channel/UC2NFRq9s2neD_Ml0tPhNC2Q,우주하마,https://namu.wiki/w/우주하마,우주하마.txt
19,테스터훈 TesterHoon,/channel/UCUbOogiD-4PKDqaJfSOTC0g,테스터훈,https://namu.wiki/w/테스터훈,테스터훈.txt
20,우왁굳의 게임방송,/channel/UCBkyj16n2snkRg1BAzpovXQ,우왁굳,https://namu.wiki/w/우왁굳,우왁굳.txt
21,릴카,/channel/UC48NSSfUBsmL0k0wKxSqRkw,릴카,https://namu.wiki/w/릴카,릴카.txt
22,Dino Box Jurassic park,/channel/UCR3rHpatQ69g1uiGfGp60rw,쥬라기 월드,https://namu.wiki/w/쥬라기 월드,쥬라기 월드.txt
23,만두민 ManDooMiN,/channel/UC3DYSay178fMMPaf3zHwECA,만두민,https://namu.wiki/w/만두민,만두민.txt
24,킴성태TV,/channel/UCAaLhok91QDrweyuDRsmjqQ,킴성태,https://namu.wiki/w/킴성태,킴성태.txt
25,겜브링 GGAM BRING,/channel/UCSOeJWyByeoBHpmrm0NnlLw,겜브링,https://namu.wiki/w/겜브링,겜브링.txt
26,유정호tv,/channel/UCWCKqaOsUJ0OzjC01ATQmPA,유정호,https://namu.wiki/w/유정호,유정호.txt
27,혜안,/channel/UC8CIM3d3zDYMk-3T5aAz0yw,혜안(인터넷 방송인),https://namu.wiki/w/혜안(인터넷 방송인),혜안(인터넷 방송인).txt
28,MariAndColors,/channel/UCdvO5cIFPdFDhXDzs1WrbZw,말이야와 친구들,https://namu.wiki/w/말이야와 친구들,말이야와 친구들.txt
29,쁘허,/channel/UCtCnnCUn9IDDQRU9_04JD3g,쁘띠허브,https://namu.wiki/w/쁘띠허브,쁘띠허브.txt
30,기리TV,/channel/UCEcuyrAqhRVUmRdOd6FGKSw,기리TV,https://namu.wiki/w/기리TV,기리TV.txt
31,테드TV,/channel/UC5pbeFWTPAUdKu65kBROsBg,테드TV,https://namu.wiki/w/테드TV,테드TV.txt
32,makeUmove,/channel/UCc0_4m8a-YtBHEcYwjEnbxw,맥큐뭅,https://namu.wiki/w/맥큐뭅,맥큐뭅.txt
33,텔론,/channel/UCl4nBkmJCDs6RR8uWldAqLA,텔론,https://namu.wiki/w/텔론,텔론.txt
34,램램TV,/channel/UCHdsNK3SJi7tI85f4XPy7zA,램램,https://namu.wiki/w/램램,램램.txt
35,마재TV,/channel/UC7uKMg7lPdCp4Nm1tLesihQ,액시스마이콜,https://namu.wiki/w/액시스마이콜,액시스마이콜.txt
36,군림보,/channel/UCN5oT4zGJX-_H6pE5isAEeg,군림보,https://namu.wiki/w/군림보,군림보.txt
37,연다,/channel/UCZcD2iYy55-SkEbv3tcMZrg,연다,https://namu.wiki/w/연다,연다.txt
38,울산큰고래 박성주,/channel/UCIchCOLwLBMD87quHlNuXjQ,울산큰고래,https://namu.wiki/w/울산큰고래,울산큰고래.txt
39,머독방송,/channel/UC-Zedn7a_RJyb5hUQ-aGZog,머독(인터넷 방송인),https://namu.wiki/w/머독(인터넷 방송인),머독(인터넷 방송인).txt
40,잉여맨 유튜브,/channel/UCeG0ONJtjwE20ThR5iSYdsA,잉여맨,https://namu.wiki/w/잉여맨,잉여맨.txt
41,Toycoo 토이쿠,/channel/UCHCkaI_DQoU7Tgg4CsBN5Bw,TOEIC,https://namu.wiki/w/TOEIC,TOEIC.txt
42,침착맨,/channel/UCUj6rrhMTR9pipbAWBAMvUQ,침착맨,https://namu.wiki/w/침착맨,침착맨.txt
43,Lone Dragon,/channel/UC62pL2GZUeMx-gSzQmnB6gw,카라반 팰리스,https://namu.wiki/w/카라반 팰리스,카라반 팰리스.txt
44,괴물쥐 유튜브,/channel/UCDBAVzfX3yZ1hah0FHnOoaA,괴물쥐,https://namu.wiki/w/괴물쥐,괴물쥐.txt
45,개리형,/channel/UCRpdlPk671uOMiBtf5HtB3Q,개리형,https://namu.wiki/w/개리형,개리형.txt
46,압둘알리과로사,/channel/UC31ypOxFsuU3Q0OFpQzcQ3g,과로사(인터넷 방송인),https://namu.wiki/w/과로사(인터넷 방송인),과로사(인터넷 방송인).txt
47,돼지저금통,/channel/UCEVnzHZkNMG-XFUGomZ24cg,돼지저금통(유튜버),https://namu.wiki/w/돼지저금통(유튜버),돼지저금통(유튜버).txt
48,김왼팔,/channel/UCPI40-XQA9-GBGj2k8PPqfg,김왼팔,https://namu.wiki/w/김왼팔,김왼팔.txt
49,Cowsep,/channel/UCgzC7SsCYSfGrVWoHQS5W8A,Cowsep,https://namu.wiki/w/Cowsep,Cowsep.txt
50,눈언YT,/channel/UCt1dxdedblLX2PsSFFK0Hzw,유튜브,https://namu.wiki/w/유튜브,유튜브.txt
51,스페셜솔져 - 모바일FPS,/channel/UCU8zFvUOoHYB3DY5cKIiSKQ,스페셜솔져,https://namu.wiki/w/스페셜솔져,스페셜솔져.txt
52,T1,/channel/UCJprx3bX49vNl6Bcw01Cwfg,T1/리그 오브 레전드,https://namu.wiki/w/T1/리그 오브 레전드,T1-리그 오브 레전드.txt
53,문호준,/channel/UCeivPjjK9-cdj8-gw4-7JRg,문호준,https://namu.wiki/w/문호준,문호준.txt
54,강 지,/channel/UCIVFv8AiQLqM9oLHTixrNYw,강지,https://namu.wiki/w/강지,강지.txt
55,탁주 TV,/channel/UC7nVGqibbYgrzh733LDffNQ,탁주(인터넷 방송인),https://namu.wiki/w/탁주(인터넷 방송인),탁주(인터넷 방송인).txt
56,유키 YOUKI,/channel/UCidO_j4TWaTvUiid2WffuqA,YUKI,https://namu.wiki/w/YUKI,YUKI.txt
57,GCL 지씨엘,/channel/UCLuDznROytXtnMSDwo5aGJQ,GCL 지씨엘,https://namu.wiki/w/GCL 지씨엘,GCL 지씨엘.txt
58,헬로[HELLO],/channel/UCsR07Y3qMhf_oKxit4xLoHg,Hello,https://namu.wiki/w/Hello,Hello.txt
59,저라뎃 JUSTLIKETHAT,/channel/UC1dG3vI9FfHnH3YgyeKUz_A,저라뎃,https://namu.wiki/w/저라뎃,저라뎃.txt
60,코아 TV,/channel/UCdmPH-DTjL52x5K3lRvHYQw,코아(인터넷 방송인),https://namu.wiki/w/코아(인터넷 방송인),코아(인터넷 방송인).txt
