,Channel_ID,probit
0,/channel/UCtG4WVb1P38zdKG8HXP4scQ,0.1506
1,/channel/UCjBp_7RuDBUYbd1LegWEJ8g,0.0015
2,/channel/UCxutPqfWSdYqaK8_tlc5PBA,0.0
3,/channel/UCxLOTgnqpSqQp_kMPlb7PWw,0.0003
4,/channel/UChQ-VMvdGrYZxviQVMTJOHg,0.0026
5,/channel/UCbFzvzDu17eDZ3RIeaLRswQ,0.0006
6,/channel/UCg7rkxrTnIhiHEpXY1ec9NA,0.0002
7,/channel/UC4Qw1uE9kwUI4cCAx9HZtxw,0.0
8,/channel/UCNzcxCN_Hh_lu5RCSFXKgGQ,0.0527
9,/channel/UCSHVH_AWVUc-C8-D8mh8W6A,0.0028
10,/channel/UCYooECrv-fIXlPaDwEIaveA,0.0282
12,/channel/UCHxKSivB6JLZ1SEMdxd1fAg,0.5481
13,/channel/UC3dt8G_iIiZXijtaaLgo1HA,0.001
14,/channel/UCEPuItFWOOJ2o5hTu65NlEg,0.154
15,/channel/UCpJw2H9KKqwCCGQKRh1Bf2w,0.4286
16,/channel/UCQJuZxeDv2P05YHcC-tIEVQ,0.0457
17,/channel/UCyn_E0ZE8RNOnYnF3lVaCOQ,0.0
18,/channel/UC2NFRq9s2neD_Ml0tPhNC2Q,0.2304
19,/channel/UCUbOogiD-4PKDqaJfSOTC0g,0.0001
20,/channel/UCBkyj16n2snkRg1BAzpovXQ,0.0002
22,/channel/UCR3rHpatQ69g1uiGfGp60rw,0.1181
23,/channel/UC3DYSay178fMMPaf3zHwECA,0.0133
24,/channel/UCAaLhok91QDrweyuDRsmjqQ,0.3607
25,/channel/UCSOeJWyByeoBHpmrm0NnlLw,0.2237
26,/channel/UCWCKqaOsUJ0OzjC01ATQmPA,0.0356
27,/channel/UC8CIM3d3zDYMk-3T5aAz0yw,0.0349
28,/channel/UCdvO5cIFPdFDhXDzs1WrbZw,0.0065
29,/channel/UCtCnnCUn9IDDQRU9_04JD3g,0.092
30,/channel/UCEcuyrAqhRVUmRdOd6FGKSw,0.4486
31,/channel/UC5pbeFWTPAUdKu65kBROsBg,0.2502
32,/channel/UCc0_4m8a-YtBHEcYwjEnbxw,0.3326
33,/channel/UCl4nBkmJCDs6RR8uWldAqLA,0.1667
34,/channel/UCHdsNK3SJi7tI85f4XPy7zA,0.0001
35,/channel/UC7uKMg7lPdCp4Nm1tLesihQ,0.0
36,/channel/UCN5oT4zGJX-_H6pE5isAEeg,0.2055
37,/channel/UCZcD2iYy55-SkEbv3tcMZrg,0.1297
38,/channel/UCIchCOLwLBMD87quHlNuXjQ,0.0025
39,/channel/UC-Zedn7a_RJyb5hUQ-aGZog,0.0133
40,/channel/UCeG0ONJtjwE20ThR5iSYdsA,0.0134
42,/channel/UCUj6rrhMTR9pipbAWBAMvUQ,0.1117
43,/channel/UC62pL2GZUeMx-gSzQmnB6gw,0.6008
44,/channel/UCDBAVzfX3yZ1hah0FHnOoaA,0.0915
45,/channel/UCRpdlPk671uOMiBtf5HtB3Q,0.3726
46,/channel/UC31ypOxFsuU3Q0OFpQzcQ3g,0.0001
47,/channel/UCEVnzHZkNMG-XFUGomZ24cg,0.1253
48,/channel/UCPI40-XQA9-GBGj2k8PPqfg,0.0
49,/channel/UCgzC7SsCYSfGrVWoHQS5W8A,0.9889
51,/channel/UCU8zFvUOoHYB3DY5cKIiSKQ,0.1562
53,/channel/UCeivPjjK9-cdj8-gw4-7JRg,0.7574
54,/channel/UCIVFv8AiQLqM9oLHTixrNYw,0.116
55,/channel/UC7nVGqibbYgrzh733LDffNQ,0.0011
56,/channel/UCidO_j4TWaTvUiid2WffuqA,0.3755
57,/channel/UCLuDznROytXtnMSDwo5aGJQ,0.0805
58,/channel/UCsR07Y3qMhf_oKxit4xLoHg,0.0875
59,/channel/UC1dG3vI9FfHnH3YgyeKUz_A,0.4251
60,/channel/UCdmPH-DTjL52x5K3lRvHYQw,0.0002
61,/channel/UCLJs55bZWMsCBPekt3vssoQ,0.0767
62,/channel/UCxeWKVovE_mKNRCwAlpL87A,0.0023
63,/channel/UCMOOio1GZ50OeJT58DGBQCA,0.0023
64,/channel/UCHsK9gl5aU0F3umrU4Zn_sA,0.0001
65,/channel/UCw-JzmPsjRcbzJLncr4pIIA,0.1706
66,/channel/UCiwOunGuqfKjcLIBsteAAJQ,0.0002
67,/channel/UCSQkftbg2z4kz4NNBVs6CIQ,0.1987
68,/channel/UCn_9mH91rLWez9SZ6AdjfYg,0.2511
69,/channel/UCJDEss5wA1ddrCBC40giO8A,0.0468
70,/channel/UCylzl5EMsHKCMeUe2TLKLKA,0.0042
71,/channel/UCt15X5eHLwyP8PpNtQTkuDQ,0.6317
72,/channel/UCWL_9MaaMy8ObTDPmVHemjA,0.0881
73,/channel/UCw1DsweY9b2AKGjV4kGJP1A,0.5645
74,/channel/UCoHsxU1eDWHom6D7Fce6kLA,0.0
75,/channel/UCZ0bi2aVJngKLwFTU5g_fLQ,0.0835
76,/channel/UCAJAJ9bAvfjFLRrsqeumJIA,0.5911
77,/channel/UCgjaQlejpAnIu0q-xtVfTEw,0.0
78,/channel/UCnMBn-PNx1M9TLF0s-sEDeQ,0.0001
79,/channel/UCSzHok6X5qXEO7cjvVnE62g,0.6712
80,/channel/UCnQRkIhRmXrxGrK4-8n-lVw,0.0024
81,/channel/UCL_IvtOZo6sONpiydbzzHpA,0.2282
82,/channel/UCXZaTqDKXHmNfKZ1ywhxe0w,0.25
83,/channel/UCKDkGnyeib7mcU7LdD3x0jQ,0.0601
84,/channel/UCb5NLtXAsTBrmaZVhyFa-Wg,0.4055
85,/channel/UCugNO83_V7xZLzCsjpABGeg,0.2694
86,/channel/UCbLispC1ydHSC_69kjZI6hw,0.1001
87,/channel/UCZ-UuK86Bk5sGzQQ2cEglJQ,0.0002
88,/channel/UCAJ-meoCh1TrPZ7La3UpPrw,0.3636
89,/channel/UCHsNxA14lzqnrm0mW7GQIXA,0.3998
90,/channel/UCldBBBC3KowWN7ScJRQlZyg,0.2481
91,/channel/UCzoP3s16B9hP7f_qIc6DReQ,0.0
92,/channel/UCl402YYy7RcH7PBI3npmGPQ,0.1154
93,/channel/UCDrAR1OWC2MD4s0JLetN0MA,0.0004
95,/channel/UCzPLwuw2vJgxtEQk2nM4TVg,0.007
96,/channel/UC1MO5uem_t8lRgvIBF9u83w,0.0
97,/channel/UCa-IaOPw5r1oQ4vuf3QjEPA,0.0017
99,/channel/UCBvkQFBskQR9NeOoDYR8ckA,0.0
101,/channel/UC1q4Ihlv_YhLELw-ijE0Diw,0.0504
102,/channel/UCp77saYy1V_F3dld7GfJrcg,0.0
103,/channel/UCHqvLC2ilL2M4_SpoFiWtuQ,0.1999
104,/channel/UClsIn5fbUo2pSJN_3lhnDag,0.1019
105,/channel/UCj1dw4G9v09OLXIxiL_VUEA,0.085
106,/channel/UCCA8UWUW80iHqK9ymdjRwPg,0.0014
107,/channel/UCyHvSKT_bLDYpkv1JjjsLAg,0.0
108,/channel/UCfnMSbA2Bfi4cnuuN2pa0HA,0.0933
109,/channel/UCUsrcN6Vtqr05ibbow_rnBw,0.0003
110,/channel/UCC4QcwDnXG5poPg__kD4YmQ,0.0926
111,/channel/UConOmISJY0oZHRhWGyvdQ2A,0.1337
112,/channel/UCrLxiPkgUEEnItqryMFVG2g,0.1669
113,/channel/UC-2wa6jvprl7hfCpvw0ULzg,0.3755
114,/channel/UCM9m5BHwm-lU7tK07co3ClA,0.0002
115,/channel/UCcdlIcleb4oIK6of1ugSJ7w,0.0002
