,name,youtube_code,namu_code,혐오,행복,중립,슬픔,분노,놀람,공포,총합,혐비,행비,중비,슬비,분비,놀비,공비
3,ToyFamily,/channel/UCxLOTgnqpSqQp_kMPlb7PWw,Ryan's World,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
28,MariAndColors,/channel/UCdvO5cIFPdFDhXDzs1WrbZw,말이야와 친구들,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
43,Lone Dragon,/channel/UC62pL2GZUeMx-gSzQmnB6gw,카라반 팰리스,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
51,스페셜솔져 - 모바일FPS,/channel/UCU8zFvUOoHYB3DY5cKIiSKQ,스페셜솔져,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
83,OGN,/channel/UCKDkGnyeib7mcU7LdD3x0jQ,OGN,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
90,김희철 KimHeeChul,/channel/UCldBBBC3KowWN7ScJRQlZyg,희철,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
94,Game Land,/channel/UCdkCeGJ9G9Y5N0SReSPo5Tw,쥬니어네이버,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
131,가브리엘,/channel/UC2FDVyrQnjoZCUyk9fmqd9g,가브리엘(인터넷 방송인),0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
162,아려랑,/channel/UCFMzJRPsLOL17lwxN_MdcnA,아려랑,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
185,다주,/channel/UCawY6uW94r1JcBuOTqHDfow,다주,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
189,Landing TV,/channel/UCkwRQReFyYUHzPqGk5vO7Tg,랜딩(인터넷 방송인),0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
190,클래시 오브 클랜,/channel/UCORzNUvBtd0j_wraSf88Y4w,클래시 오브 클랜,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
199,거눈 GONOON,/channel/UCSGi7jxv1fqTx9hYI_lrGdg,김하늘,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
245,RinyTiny [리니티니],/channel/UCArr7e9zILksFPuGDq-MffA,에스와티니,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
