,Channel_ID,probit
0,/channel/UCtG4WVb1P38zdKG8HXP4scQ,0.0
2,/channel/UCxutPqfWSdYqaK8_tlc5PBA,0.9998
4,/channel/UChQ-VMvdGrYZxviQVMTJOHg,0.4282
5,/channel/UCbFzvzDu17eDZ3RIeaLRswQ,0.4998
6,/channel/UCg7rkxrTnIhiHEpXY1ec9NA,0.2415
8,/channel/UCNzcxCN_Hh_lu5RCSFXKgGQ,0.0103
9,/channel/UCSHVH_AWVUc-C8-D8mh8W6A,0.0003
10,/channel/UCYooECrv-fIXlPaDwEIaveA,0.1295
12,/channel/UCHxKSivB6JLZ1SEMdxd1fAg,0.0002
13,/channel/UC3dt8G_iIiZXijtaaLgo1HA,0.1856
14,/channel/UCEPuItFWOOJ2o5hTu65NlEg,0.0001
15,/channel/UCpJw2H9KKqwCCGQKRh1Bf2w,0.4998
16,/channel/UCQJuZxeDv2P05YHcC-tIEVQ,0.0
18,/channel/UC2NFRq9s2neD_Ml0tPhNC2Q,0.0031
19,/channel/UCUbOogiD-4PKDqaJfSOTC0g,0.4497
22,/channel/UCR3rHpatQ69g1uiGfGp60rw,0.0
23,/channel/UC3DYSay178fMMPaf3zHwECA,0.0002
24,/channel/UCAaLhok91QDrweyuDRsmjqQ,0.0001
26,/channel/UCWCKqaOsUJ0OzjC01ATQmPA,0.3329
28,/channel/UCdvO5cIFPdFDhXDzs1WrbZw,0.0
29,/channel/UCtCnnCUn9IDDQRU9_04JD3g,0.0
30,/channel/UCEcuyrAqhRVUmRdOd6FGKSw,0.0
31,/channel/UC5pbeFWTPAUdKu65kBROsBg,0.0001
34,/channel/UCHdsNK3SJi7tI85f4XPy7zA,0.0
35,/channel/UC7uKMg7lPdCp4Nm1tLesihQ,0.0
36,/channel/UCN5oT4zGJX-_H6pE5isAEeg,0.2195
37,/channel/UCZcD2iYy55-SkEbv3tcMZrg,0.1441
38,/channel/UCIchCOLwLBMD87quHlNuXjQ,0.0064
39,/channel/UC-Zedn7a_RJyb5hUQ-aGZog,0.2476
40,/channel/UCeG0ONJtjwE20ThR5iSYdsA,0.0
42,/channel/UCUj6rrhMTR9pipbAWBAMvUQ,0.0
44,/channel/UCDBAVzfX3yZ1hah0FHnOoaA,0.0001
45,/channel/UCRpdlPk671uOMiBtf5HtB3Q,0.0079
46,/channel/UC31ypOxFsuU3Q0OFpQzcQ3g,0.4991
47,/channel/UCEVnzHZkNMG-XFUGomZ24cg,0.5084
51,/channel/UCU8zFvUOoHYB3DY5cKIiSKQ,0.0001
53,/channel/UCeivPjjK9-cdj8-gw4-7JRg,0.0002
54,/channel/UCIVFv8AiQLqM9oLHTixrNYw,0.0738
56,/channel/UCidO_j4TWaTvUiid2WffuqA,0.4906
57,/channel/UCLuDznROytXtnMSDwo5aGJQ,0.0005
59,/channel/UC1dG3vI9FfHnH3YgyeKUz_A,0.0015
61,/channel/UCLJs55bZWMsCBPekt3vssoQ,0.0
62,/channel/UCxeWKVovE_mKNRCwAlpL87A,0.0
63,/channel/UCMOOio1GZ50OeJT58DGBQCA,0.0
64,/channel/UCHsK9gl5aU0F3umrU4Zn_sA,0.0012
65,/channel/UCw-JzmPsjRcbzJLncr4pIIA,0.0
66,/channel/UCiwOunGuqfKjcLIBsteAAJQ,0.9996
67,/channel/UCSQkftbg2z4kz4NNBVs6CIQ,0.0019
