,name,youtube_code,namu_code,혐오,행복,중립,슬픔,분노,놀람,공포
0,박닝겐,/channel/UCtG4WVb1P38zdKG8HXP4scQ,박닝겐,22,43,134,6,4,40,12
1,Xbox,/channel/UCjBp_7RuDBUYbd1LegWEJ8g,Xbox,22,17,321,0,57,185,42
2,Lime Tube[라임튜브],/channel/UCxutPqfWSdYqaK8_tlc5PBA,라임튜브,9,106,53,14,5,45,21
3,ToyFamily,/channel/UCxLOTgnqpSqQp_kMPlb7PWw,Ryan's World,0,0,0,0,0,0,0
4,도티 TV,/channel/UChQ-VMvdGrYZxviQVMTJOHg,도티,34,470,84,58,9,123,36
5,감스트GAMST,/channel/UCbFzvzDu17eDZ3RIeaLRswQ,감스트,90,350,132,44,23,139,65
6,잠뜰 TV,/channel/UCg7rkxrTnIhiHEpXY1ec9NA,잠뜰,53,394,128,48,13,130,74
7,LsCraft,/channel/UC4Qw1uE9kwUI4cCAx9HZtxw,팬 케이,50,28,241,1,30,97,57
8,악동 김블루,/channel/UCNzcxCN_Hh_lu5RCSFXKgGQ,김블루,43,219,125,33,9,122,38
9,대도서관TV (buzzbean11),/channel/UCSHVH_AWVUc-C8-D8mh8W6A,대도서관(방송인),15,160,72,41,6,76,29
10,양띵 유튜브,/channel/UCYooECrv-fIXlPaDwEIaveA,양띵,50,241,60,41,7,70,35
11,김재원의 즐거운 세상,/channel/UCta_NRwnsUaew0t3VNxBNyg,김재원(샌드박스 네트워크),52,159,129,21,15,112,45
12,뜨뜨뜨뜨,/channel/UCHxKSivB6JLZ1SEMdxd1fAg,뜨뜨뜨뜨,79,193,99,26,20,143,28
13,Edu car toy school,/channel/UC3dt8G_iIiZXijtaaLgo1HA,Car Driving School Simulator,1,0,6,0,2,2,0
14,태경 TV,/channel/UCEPuItFWOOJ2o5hTu65NlEg,태경,22,298,70,45,5,91,28
15,T1 Faker,/channel/UCpJw2H9KKqwCCGQKRh1Bf2w,이상혁,48,259,110,24,14,149,30
16,악어 유튜브,/channel/UCQJuZxeDv2P05YHcC-tIEVQ,악어(인터넷 방송인),67,255,90,23,15,122,29
17,캐릭온 TV,/channel/UCyn_E0ZE8RNOnYnF3lVaCOQ,캐릭온TV,18,271,48,92,4,53,41
18,우주하마,/channel/UC2NFRq9s2neD_Ml0tPhNC2Q,우주하마,44,186,81,15,11,82,42
19,테스터훈 TesterHoon,/channel/UCUbOogiD-4PKDqaJfSOTC0g,테스터훈,30,199,84,11,10,112,19
20,우왁굳의 게임방송,/channel/UCBkyj16n2snkRg1BAzpovXQ,우왁굳,52,235,94,31,11,115,40
21,릴카,/channel/UC48NSSfUBsmL0k0wKxSqRkw,릴카,55,196,105,28,12,101,29
22,Dino Box Jurassic park,/channel/UCR3rHpatQ69g1uiGfGp60rw,쥬라기 월드,0,1,2,0,0,0,0
23,만두민 ManDooMiN,/channel/UC3DYSay178fMMPaf3zHwECA,만두민,41,136,139,9,22,85,26
24,킴성태TV,/channel/UCAaLhok91QDrweyuDRsmjqQ,킴성태,60,158,60,12,14,65,13
25,겜브링 GGAM BRING,/channel/UCSOeJWyByeoBHpmrm0NnlLw,겜브링,40,212,97,38,14,97,39
26,유정호tv,/channel/UCWCKqaOsUJ0OzjC01ATQmPA,유정호,64,181,102,37,20,77,39
27,혜안,/channel/UC8CIM3d3zDYMk-3T5aAz0yw,혜안(인터넷 방송인),83,253,84,39,20,109,37
28,MariAndColors,/channel/UCdvO5cIFPdFDhXDzs1WrbZw,말이야와 친구들,0,0,0,0,0,0,0
29,쁘허,/channel/UCtCnnCUn9IDDQRU9_04JD3g,쁘띠허브,32,408,61,62,16,109,45
30,기리TV,/channel/UCEcuyrAqhRVUmRdOd6FGKSw,기리TV,26,289,170,79,26,166,50
